Handle,Title,Body (HTML),Option1 Name,Option1 Value
serum-cap-alfaparfx15ml-semillas-lino,SERUM CAPILAR ALFAPARFx15ml SEMILLAS LINO,"<p><strong>Serum Capilar Alfaparf 15 ml Semillas Lino</strong></p><p>Este aceite capilar de Alfaparf de la línea Semillas Lino en presentación de 15 ml sella las puntas, controla el frizz y devuelve ese brillo de pelo sano.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Unas gotas alcanzan: rinde muchísimo y no deja sensación grasosa si se dosifica bien.</li><li>Disciplina el frizz y los pelitos rebeldes sin acartonar.</li><li>Protege las puntas del roce, que es donde empieza la mayoría de la rotura.</li><li>Se puede usar sobre cabello húmedo o seco, antes o después del peinado.</li><li>Tamaño de 15 ml: entra en cualquier neceser y viaja sin problema.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Poné 2 o 3 gotas en la palma y frotá las manos.</li><li>Repartí de medios a puntas, nunca en la raíz.</li><li>Peiná para distribuir de forma pareja.</li><li>Si lo usás sobre cabello húmedo, secá normalmente después.</li></ol><p><strong>Ideal para:</strong> puntas secas, cabello con frizz o melenas largas que pierden brillo.</p><p><strong>Tip Krika:</strong> Menos es más: si te pasás de cantidad, el pelo se ve grasoso. Empezá con dos gotas.</p>",Title,Default Title
laca-alfaparfx500ml-style-extra-strong,LACA ALFAPARFx500ml STYLE STORIES EXTREME-STRONG,"<p><strong>Laca Alfaparf 500 ml Style Stories EXTREME-STRONG</strong></p><p>Esta laca de Alfaparf de la línea Style Stories EXTREME-STRONG en presentación de 500 ml fija el peinado terminado y lo mantiene en su sitio hasta el final del día.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Fijación que aguanta humedad, viento y horas de uso.</li><li>Secado rápido, sin dejar el pelo pegajoso.</li><li>Se cepilla sin dejar escamas blancas.</li><li>Sirve tanto para fijar el peinado completo como para retocar zonas puntuales.</li><li>Formato grande de 500 ml, pensado para uso frecuente sin quedarte a mitad de camino.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Agitá el envase.</li><li>Pulverizá a unos 25 o 30 cm de distancia.</li><li>Aplicá en capas finas, dejando secar unos segundos entre una y otra.</li><li>Para volumen, levantá mechones y rociá directamente en la raíz.</li></ol><p><strong>Ideal para:</strong> peinados de evento, recogidos y cualquier look que tenga que durar.</p><p><strong>Tip Krika:</strong> Rociá primero el cepillo y después peiná: fijás los pelitos sueltos sin cargar el peinado.</p>",Title,Default Title
tonico-cap-alfaparfx125ml-scalp-rene,TONICO CAPILAR ALFAPARFx125ml SCALP RENEW ENERGIZING,"<p><strong>Tonico Capilar Alfaparf 125 ml Scalp Renew Energizing</strong></p><p>Este tónico capilar de Alfaparf de la línea Scalp Renew Energizing en presentación de 125 ml se aplica directo en el cuero cabelludo para acompañar rutinas de fortalecimiento.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Va donde importa: directo al cuero cabelludo, sin quedarse en el largo.</li><li>Textura ligera que no engrasa ni deja el pelo pesado.</li><li>Sin enjuague, así que se integra a la rutina diaria sin sumar pasos al baño.</li><li>Pensado para usarse de forma constante, que es cuando este tipo de producto rinde.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Aplicá sobre cuero cabelludo limpio, con el cabello húmedo o seco.</li><li>Repartí por secciones para cubrir toda la zona.</li><li>Masajeá con las yemas 1 o 2 minutos para activar la circulación.</li><li>No enjuagues. Usalo a diario o según indique el envase.</li></ol><p><strong>Ideal para:</strong> rutinas de fortalecimiento y cuidado del cuero cabelludo.</p><p><strong>Tip Krika:</strong> La constancia es todo: los resultados de un tónico se ven a partir de la cuarta o sexta semana.</p>",Title,Default Title
crema-peinar-alfaparfx150ml-lissd-detan,CREMA PEINAR LISSE DESIGNx150ml DETANGLING,"<p><strong>Crema Peinar Lisse Design 150 ml Detangling</strong></p><p>Esta crema para peinar de Alfaparf de la línea Detangling en presentación de 150 ml desenreda, define y controla el frizz sin necesidad de enjuagar.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Sin enjuague: desenreda al momento y sigue trabajando todo el día.</li><li>Define la forma natural del cabello sin dejarlo duro ni acartonado.</li><li>Reduce la rotura al peinar, sobre todo en cabello mojado.</li><li>Sirve como base antes del secador o para refrescar el peinado al día siguiente.</li><li>Trabaja a favor del liso y ayuda a domar el frizz.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Sobre cabello húmedo y escurrido, tomá una porción según el largo.</li><li>Repartí de medios a puntas con las manos.</li><li>Desenredá con peine de dientes anchos.</li><li>Dejá secar al aire o secá con difusor.</li></ol><p><strong>Ideal para:</strong> cabello rizado, ondulado o con tendencia al frizz.</p><p><strong>Tip Krika:</strong> Aplicala con el pelo bien mojado y &quot;amasando&quot; los rizos: así se definen mucho mejor.</p>",Title,Default Title
plancha-alizzxund-azul-480-ultralivia,PLANCHA ALIZZxund AZUL 480 ULTRALIVIANA,"<p><strong>Plancha Alizz Azul 480 Ultraliviana</strong></p><p>Esta plancha de cabello de Alizz de la línea Azul 480 Ultraliviana alisa, define y da forma al cabello con control de temperatura.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Alisa en pocas pasadas: menos calor acumulado, menos daño.</li><li>Placas que deslizan sin tironear ni enganchar el pelo.</li><li>Temperatura regulable para adaptarse a cada tipo de cabello.</li><li>También sirve para hacer ondas y puntas hacia adentro.</li></ul><p><strong>Cómo usarla</strong></p><ol><li>Usá siempre termoprotector. No es opcional si planchás seguido.</li><li>El cabello tiene que estar 100 % seco antes de empezar.</li><li>Trabajá por mechones finos, con una sola pasada firme y continua.</li><li>Regulá la temperatura: 160-180 °C para cabello fino, hasta 200 °C para cabello grueso.</li></ol><p><strong>Ideal para:</strong> alisado en casa y peinados con plancha.</p><p><strong>Tip Krika:</strong> Dos pasadas a temperatura baja dañan menos que una a máxima potencia.</p>",Title,Default Title
secador-alizzxund-21000-elegance-negro,SECADOR ALIZZxund 21000 ELEGANCE NEGRO,"<p><strong>Secador Alizz 21000 Elegance Negro</strong></p><p>Este secador de cabello de Alizz de la línea 21000 Elegance Negro seca rápido y da forma al peinado con el control que el aire libre no ofrece.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Secado rápido, que significa menos tiempo de calor sobre la fibra.</li><li>Varias velocidades y temperaturas para adaptarse al tipo de cabello.</li><li>El golpe de aire frío fija el peinado y sella la cutícula.</li><li>Con difusor, define rizos sin generar frizz.</li></ul><p><strong>Cómo usarlo</strong></p><ol><li>Retirá el exceso de agua con la toalla y aplicá termoprotector.</li><li>Secá al 80 % con aire medio antes de empezar a dar forma.</li><li>Mantené el secador a unos 15 cm y dirigí el aire de raíz a puntas.</li><li>Terminá con aire frío para fijar y dar brillo.</li></ol><p><strong>Ideal para:</strong> secado y brushing en casa.</p><p><strong>Tip Krika:</strong> Dirigir el aire de la raíz hacia las puntas cierra la cutícula. Al revés, la abre y genera frizz.</p>",Title,Default Title
cepillo-elec-alizzxund-air-infr-360-dora,CEPILLO ELECTRICO ALIZZxund AIR INFR 360 DORADO,"<p><strong>Cepillo Electrico Alizz Air Infr 360 Dorado</strong></p><p>Este cepillo eléctrico de Alizz de la línea Air Infr 360 Dorado combina cepillado y calor para dar forma al cabello en un solo paso.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Hace brushing y alisado sin necesidad de dos manos expertas.</li><li>Mucho más fácil de manejar que secador y cepillo por separado.</li><li>Temperatura regulable.</li><li>Resultado con volumen y movimiento, no plano como el de la plancha.</li></ul><p><strong>Cómo usarlo</strong></p><ol><li>Usalo sobre cabello seco o apenas húmedo, según el modelo.</li><li>Aplicá termoprotector siempre.</li><li>Trabajá por secciones, deslizando de raíz a puntas.</li><li>Terminá con aire frío o dejá enfriar antes de peinar.</li></ol><p><strong>Ideal para:</strong> brushing en casa sin práctica previa.</p>",Title,Default Title
aromatizador-altarcorpusx250ml-flormel,AROMATIZADOR ALTAR DE CORPUSx250ml FLOR DE LOTO Y MELON,"<p><strong>Aromatizador Altar De Corpus 250 ml Flor De Loto Y Melon</strong></p><p>Este producto de aromaterapia de Altar De Corpus de la línea Flor De Loto Y Melon en presentación de 250 ml transforma el ambiente y acompaña momentos de relajación.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Cambia por completo la sensación de un espacio.</li><li>Acompaña rituales de descanso, meditación o lectura.</li><li>Aroma que se percibe sin resultar invasivo.</li><li>También funciona muy bien como regalo.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Usalo en un espacio ventilado.</li><li>Seguí las indicaciones de dosificación del envase.</li><li>Mantené fuera del alcance de niños y mascotas.</li><li>No lo apliques directamente sobre la piel salvo que el envase lo indique.</li></ol><p><strong>Ideal para:</strong> relajación, descanso y ambientar espacios.</p>",Title,Default Title
polvo-amex16g-01-sand-ls-compacto,POLVO AMEx16g 01 SAND LS COMPACTO,"<p><strong>Polvo Ame 16 g 01 Sand Ls Compacto</strong></p><p>Este polvo de Ame de la línea 01 Sand Ls Compacto en presentación de 16 g sella el maquillaje, controla los brillos y deja la piel con acabado uniforme.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Fija la base y hace que el maquillaje aguante muchas más horas.</li><li>Controla el brillo de la zona T sin resecar el resto del rostro.</li><li>Se puede retocar durante el día sin que el maquillaje se acumule.</li><li>Textura fina que no marca poros ni líneas.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Aplicá después de la base y el corrector.</li><li>Cargá la brocha, sacudí el exceso y presioná suavemente sobre la piel.</li><li>Insistí en la zona T, que es donde primero aparece el brillo.</li><li>Para retocar durante el día, usá papel matificante antes de sumar más polvo.</li></ol><p><strong>Ideal para:</strong> pieles mixtas y grasas, y cualquier maquillaje que tenga que durar.</p><p><strong>Tip Krika:</strong> Presioná el polvo en lugar de barrerlo: así no arrastrás la base que pusiste debajo.</p>",Title,Default Title
delineador-amex10ml-plumon,DELINEADOR AMEx1.0ml PLUMON,"<p><strong>Delineador Ame 1.0 ml Plumon</strong></p><p>Este delineador de Ame de la línea Plumon en presentación de 1 ml define la mirada con el trazo justo, del más discreto al más gráfico.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Trazo preciso y de color intenso desde la primera pasada.</li><li>Buena duración: no se corre ni se transfiere al párpado móvil.</li><li>Permite desde una línea fina hasta un delineado gráfico.</li><li>Se retira fácil con desmaquillante bifásico.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Apoyá el codo en una superficie firme para no temblar.</li><li>Trazá pequeños guiones pegados a la línea de las pestañas y después unilos.</li><li>Para el rabito, seguí la prolongación imaginaria de la línea inferior del ojo.</li><li>Corregí el borde con un hisopo y un poco de desmaquillante.</li></ol><p><strong>Ideal para:</strong> delineado diario, cat eye y maquillajes de noche.</p><p><strong>Tip Krika:</strong> Si te tiembla el pulso, delineá con el ojo abierto y mirando al frente en el espejo.</p>",Title,Default Title
